# x,y
6.899999999999999467e-01,5.156000000000000166e-02
6.979999999999999538e-01,5.797000000000000069e-02
7.059999999999999609e-01,6.432999999999999829e-02
7.139999999999999680e-01,7.154000000000000636e-02
7.229999999999999760e-01,8.094999999999999418e-02
7.309999999999999831e-01,8.933000000000000662e-02
7.389999999999999902e-01,9.982000000000000595e-02
7.479999999999999982e-01,1.100000000000000006e-01
7.560000000000000053e-01,1.209999999999999964e-01
7.640000000000000124e-01,1.320000000000000062e-01
7.730000000000000204e-01,1.439999999999999891e-01
7.810000000000000275e-01,1.559999999999999998e-01
7.890000000000000346e-01,1.690000000000000113e-01
7.980000000000000426e-01,1.809999999999999942e-01
8.060000000000000497e-01,1.940000000000000058e-01
8.139999999999999458e-01,2.089999999999999913e-01
8.219999999999999529e-01,2.260000000000000064e-01
8.309999999999999609e-01,2.399999999999999911e-01
8.389999999999999680e-01,2.570000000000000062e-01
8.469999999999999751e-01,2.740000000000000213e-01
8.559999999999999831e-01,2.929999999999999827e-01
8.639999999999999902e-01,3.089999999999999969e-01
8.719999999999999973e-01,3.280000000000000138e-01
8.810000000000000053e-01,3.469999999999999751e-01
8.890000000000000124e-01,3.659999999999999920e-01
8.970000000000000195e-01,3.870000000000000107e-01
9.060000000000000275e-01,4.079999999999999738e-01
9.140000000000000346e-01,4.269999999999999907e-01
9.220000000000000417e-01,4.480000000000000093e-01
9.300000000000000488e-01,4.709999999999999742e-01
9.389999999999999458e-01,4.919999999999999929e-01
9.469999999999999529e-01,5.150000000000000133e-01
9.549999999999999600e-01,5.380000000000000338e-01
9.639999999999999680e-01,5.610000000000000542e-01
9.719999999999999751e-01,5.859999999999999654e-01
9.799999999999999822e-01,6.089999999999999858e-01
9.889999999999999902e-01,6.340000000000000080e-01
9.969999999999999973e-01,6.590000000000000302e-01
1.004999999999999893e+00,6.870000000000000551e-01
1.014000000000000012e+00,7.129999999999999671e-01
1.022000000000000020e+00,7.389999999999999902e-01
1.030000000000000027e+00,7.660000000000000142e-01
1.038000000000000034e+00,7.950000000000000400e-01
1.046999999999999931e+00,8.229999999999999538e-01
1.054999999999999938e+00,8.519999999999999796e-01
1.062999999999999945e+00,8.790000000000000036e-01
1.072000000000000064e+00,9.090000000000000302e-01
1.080000000000000071e+00,9.389999999999999458e-01
1.088000000000000078e+00,9.679999999999999716e-01
1.096999999999999975e+00,9.979999999999999982e-01
1.104999999999999982e+00,1.028000000000000025e+00
1.112999999999999989e+00,1.058999999999999941e+00
1.122000000000000108e+00,1.088999999999999968e+00
1.129999999999999893e+00,1.118999999999999995e+00
